article_url,author_url
https://www.nytimes.com/2017/12/15/opinion/sunday/genocide-myanmar-rohingya-bangladesh.html,https://www.nytimes.com/column/nicholas-kristof
https://www.nytimes.com/2018/01/27/opinion/larry-nassar-monster.html,https://www.nytimes.com/column/frank-bruni
https://www.nytimes.com/2018/01/23/opinion/patriots-super-bowl.html,https://www.nytimes.com/column/frank-bruni
https://www.nytimes.com/2018/01/19/opinion/sunday/donald-trump-lies-honesty.html,https://www.nytimes.com/column/frank-bruni
https://www.nytimes.com/2018/01/16/opinion/trump-lindsey-graham-shithole.html,https://www.nytimes.com/column/frank-bruni
https://www.nytimes.com/2018/01/09/opinion/is-oprah-the-un-trump-or-the-un-clinton.html,https://www.nytimes.com/column/frank-bruni
https://www.nytimes.com/2018/01/08/opinion/golden-globes-washington-women.html,https://www.nytimes.com/column/frank-bruni
https://www.nytimes.com/2018/01/05/opinion/colorado-governor-2018.html,https://www.nytimes.com/column/frank-bruni
https://www.nytimes.com/2018/01/02/opinion/trump-movies-oscars-globes.html,https://www.nytimes.com/column/frank-bruni
https://www.nytimes.com/2017/12/30/opinion/sunday/higher-eds-low-moment.html,https://www.nytimes.com/column/frank-bruni
https://www.nytimes.com/2017/12/26/opinion/trump-liberals-armageddon.html,https://www.nytimes.com/column/frank-bruni
